"season_id","B_obs","c0","c1","VE","B1_point","excess_point"
"2024-25",617,0.75,0.0499999999999999,0.35,821.969491525424,204.969491525424
"2024-25",617,0.75,0.0499999999999999,0.4,863.8,246.8
"2024-25",617,0.75,0.0499999999999999,0.45,910.366037735849,293.366037735849
"2024-25",617,0.75,0.0499999999999999,0.5,962.52,345.52
"2024-25",617,0.75,0.0499999999999999,0.55,1021.33191489362,404.331914893617
"2024-25",617,0.75,0.0499999999999999,0.6,1088.16363636364,471.163636363636
"2024-25",617,0.75,0,0.35,836.610169491525,219.610169491525
"2024-25",617,0.75,0,0.4,881.428571428571,264.428571428571
"2024-25",617,0.75,0,0.45,931.320754716981,314.320754716981
"2024-25",617,0.75,0,0.5,987.2,370.2
"2024-25",617,0.75,0,0.55,1050.21276595745,433.212765957447
"2024-25",617,0.75,0,0.6,1121.81818181818,504.818181818182
