"season_id","B_obs","c0","c1","VE","B1_point","excess_point","excess_direct_point","excess_herd_modest_point","excess_herd_low_point","excess_herd_high_point","B1_direct_point","B1_herd_modest_point","B1_herd_low_point","B1_herd_high_point"
"2024-25",617,0.75,0.75,0.35,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.75,0.4,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.75,0.45,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.75,0.5,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.75,0.55,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.75,0.6,617,0,0,0,0,0,617,617,617,617
"2024-25",617,0.75,0.7,0.35,631.640677966102,14.6406779661017,14.6406779661017,17.5688135593221,14.6406779661017,20.4969491525424,631.640677966102,634.568813559322,631.640677966102,637.496949152542
"2024-25",617,0.75,0.7,0.4,634.628571428571,17.6285714285714,17.6285714285714,21.1542857142857,17.6285714285714,24.6799999999999,634.628571428571,638.154285714286,634.628571428571,641.68
"2024-25",617,0.75,0.7,0.45,637.954716981132,20.954716981132,20.954716981132,25.1456603773584,20.954716981132,29.3366037735849,637.954716981132,642.145660377358,637.954716981132,646.336603773585
"2024-25",617,0.75,0.7,0.5,641.68,24.6800000000001,24.6800000000001,29.6160000000001,24.6800000000001,34.5520000000001,641.68,646.616,641.68,651.552
"2024-25",617,0.75,0.7,0.55,645.88085106383,28.8808510638298,28.8808510638298,34.6570212765958,28.8808510638298,40.4331914893617,645.88085106383,651.657021276596,645.88085106383,657.433191489362
"2024-25",617,0.75,0.7,0.6,650.654545454546,33.6545454545455,33.6545454545455,40.3854545454546,33.6545454545455,47.1163636363638,650.654545454546,657.385454545455,650.654545454546,664.116363636364
"2024-25",617,0.75,0.65,0.35,646.281355932203,29.2813559322034,29.2813559322034,35.1376271186441,29.2813559322034,40.9938983050847,646.281355932203,652.137627118644,646.281355932203,657.993898305085
"2024-25",617,0.75,0.65,0.4,652.257142857143,35.2571428571429,35.2571428571429,42.3085714285714,35.2571428571429,49.36,652.257142857143,659.308571428571,652.257142857143,666.36
"2024-25",617,0.75,0.65,0.45,658.909433962264,41.9094339622641,41.9094339622641,50.2913207547169,41.9094339622641,58.6732075471697,658.909433962264,667.291320754717,658.909433962264,675.67320754717
"2024-25",617,0.75,0.65,0.5,666.36,49.3600000000001,49.3600000000001,59.2320000000001,49.3600000000001,69.1040000000002,666.36,676.232,666.36,686.104
"2024-25",617,0.75,0.65,0.55,674.76170212766,57.7617021276595,57.7617021276595,69.3140425531914,57.7617021276595,80.8663829787233,674.76170212766,686.314042553191,674.76170212766,697.866382978723
"2024-25",617,0.75,0.65,0.6,684.309090909091,67.3090909090909,67.3090909090909,80.770909090909,67.3090909090909,94.2327272727272,684.309090909091,697.770909090909,684.309090909091,711.232727272727
"2024-25",617,0.75,0.6,0.35,660.922033898305,43.9220338983051,43.9220338983051,52.7064406779662,43.9220338983051,61.4908474576272,660.922033898305,669.706440677966,660.922033898305,678.490847457627
"2024-25",617,0.75,0.6,0.4,669.885714285714,52.8857142857144,52.8857142857144,63.4628571428572,52.8857142857144,74.0400000000001,669.885714285714,680.462857142857,669.885714285714,691.04
"2024-25",617,0.75,0.6,0.45,679.864150943396,62.8641509433961,62.8641509433961,75.4369811320753,62.8641509433961,88.0098113207546,679.864150943396,692.436981132075,679.864150943396,705.009811320755
"2024-25",617,0.75,0.6,0.5,691.04,74.04,74.04,88.848,74.04,103.656,691.04,705.848,691.04,720.656
"2024-25",617,0.75,0.6,0.55,703.642553191489,86.6425531914894,86.6425531914894,103.971063829787,86.6425531914894,121.299574468085,703.642553191489,720.971063829787,703.642553191489,738.299574468085
"2024-25",617,0.75,0.6,0.6,717.963636363636,100.963636363636,100.963636363636,121.156363636364,100.963636363636,141.349090909091,717.963636363636,738.156363636363,717.963636363636,758.349090909091
"2024-25",617,0.75,0.55,0.35,675.562711864407,58.5627118644068,58.5627118644068,70.2752542372881,58.5627118644068,81.9877966101695,675.562711864407,687.275254237288,675.562711864407,698.987796610169
"2024-25",617,0.75,0.55,0.4,687.514285714286,70.5142857142857,70.5142857142857,84.6171428571429,70.5142857142857,98.72,687.514285714286,701.617142857143,687.514285714286,715.72
"2024-25",617,0.75,0.55,0.45,700.818867924528,83.8188679245281,83.8188679245281,100.582641509434,83.8188679245281,117.346415094339,700.818867924528,717.582641509434,700.818867924528,734.346415094339
"2024-25",617,0.75,0.55,0.5,715.72,98.72,98.72,118.464,98.72,138.208,715.72,735.464,715.72,755.208
"2024-25",617,0.75,0.55,0.55,732.523404255319,115.523404255319,115.523404255319,138.628085106383,115.523404255319,161.732765957447,732.523404255319,755.628085106383,732.523404255319,778.732765957447
"2024-25",617,0.75,0.55,0.6,751.618181818182,134.618181818182,134.618181818182,161.541818181818,134.618181818182,188.465454545454,751.618181818182,778.541818181818,751.618181818182,805.465454545454
"2024-25",617,0.75,0.5,0.35,690.203389830508,73.2033898305084,73.2033898305084,87.8440677966101,73.2033898305084,102.484745762712,690.203389830508,704.84406779661,690.203389830508,719.484745762712
"2024-25",617,0.75,0.5,0.4,705.142857142857,88.1428571428572,88.1428571428572,105.771428571429,88.1428571428572,123.4,705.142857142857,722.771428571429,705.142857142857,740.4
"2024-25",617,0.75,0.5,0.45,721.77358490566,104.77358490566,104.77358490566,125.728301886792,104.77358490566,146.683018867924,721.77358490566,742.728301886792,721.77358490566,763.683018867924
